item_name	detected_path	type	size	git_remote	git_commit	git_branch	archive_hash	usable	duplicate	selected_copy	notes
dance2_subject3.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance2_subject3.csv	data_or_checkpoint	2313921					unknown	yes	yes	lafan; duplicate_name
dance2_subject4.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance2_subject4.csv	data_or_checkpoint	2315855					unknown	yes	yes	lafan; duplicate_name
dance2_subject5.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/dance2_subject5.csv	data_or_checkpoint	2314214					unknown	yes	yes	lafan; duplicate_name
fallAndGetUp1_subject1.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fallAndGetUp1_subject1.csv	data_or_checkpoint	1725253					unknown	yes	yes	lafan; duplicate_name
fallAndGetUp1_subject4.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fallAndGetUp1_subject4.csv	data_or_checkpoint	1723485					unknown	yes	yes	lafan; duplicate_name
fallAndGetUp1_subject5.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fallAndGetUp1_subject5.csv	data_or_checkpoint	1725138					unknown	yes	yes	lafan; duplicate_name
fallAndGetUp2_subject2.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fallAndGetUp2_subject2.csv	data_or_checkpoint	1677557					unknown	yes	yes	lafan; duplicate_name
fallAndGetUp2_subject3.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fallAndGetUp2_subject3.csv	data_or_checkpoint	1678683					unknown	yes	yes	lafan; duplicate_name
fallAndGetUp3_subject1.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fallAndGetUp3_subject1.csv	data_or_checkpoint	1043143					unknown	yes	yes	lafan; duplicate_name
fight1_subject2.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fight1_subject2.csv	data_or_checkpoint	2524033					unknown	yes	yes	lafan; duplicate_name
fight1_subject3.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fight1_subject3.csv	data_or_checkpoint	2512647					unknown	yes	yes	lafan; duplicate_name
fight1_subject5.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fight1_subject5.csv	data_or_checkpoint	2531701					unknown	yes	yes	lafan; duplicate_name
fightAndSports1_subject1.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fightAndSports1_subject1.csv	data_or_checkpoint	2521797					unknown	yes	yes	lafan; duplicate_name
fightAndSports1_subject4.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/fightAndSports1_subject4.csv	data_or_checkpoint	2516936					unknown	yes	yes	lafan; duplicate_name
jumps1_subject1.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/jumps1_subject1.csv	data_or_checkpoint	2502300					unknown	yes	yes	lafan; duplicate_name
jumps1_subject2.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/jumps1_subject2.csv	data_or_checkpoint	2501224					unknown	yes	yes	lafan; duplicate_name
jumps1_subject5.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/jumps1_subject5.csv	data_or_checkpoint	2509391					unknown	yes	yes	lafan; duplicate_name
run1_subject2.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/run1_subject2.csv	data_or_checkpoint	2445458					unknown	yes	yes	lafan; duplicate_name
run1_subject5.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/run1_subject5.csv	data_or_checkpoint	2439981					unknown	yes	yes	lafan; duplicate_name
run2_subject1.csv	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset/g1/run2_subject1.csv	data_or_checkpoint	2509227					unknown	yes	yes	lafan; duplicate_name
