sample_id	source_motion	sequence_length	state_dim	latent_dim	action_dim	current_index	current_action_mse	full_window_action_mse	current_action_max_abs_error	current_action_norm	next_latent_action_delta	mean_action_delta	latent_norm_mean	decoded_action_finite
run2_subject1_frames_1_180_state_fixture_window_0025	run2_subject1_frames_1_180	21	99	32	29	4	0.00038182179067844607	0.00041307114566896744	0.039660513401031494	1.459248371065652	0.15712080961672664	0.12456309475396436	1.2213744771047101	True
run2_subject1_frames_1_180_state_fixture_window_0026	run2_subject1_frames_1_180	21	99	32	29	4	0.000394457460910821	0.0005682814401626	0.05052570998668671	1.7620165765558091	0.15685898546439492	0.25323721805010074	1.319327069541993	True
run2_subject1_frames_1_180_state_fixture_window_0027	run2_subject1_frames_1_180	21	99	32	29	4	0.0007758424501000006	0.0010309550734166199	0.056782037019729614	1.5919274468504037	0.47715471807352366	0.35052917252513915	2.232098695842339	True
walk1_subject1_frames_1_180_state_fixture_window_0000	walk1_subject1_frames_1_180	21	99	32	29	4	0.000276298673091482	0.000260462132575765	0.037965819239616394	1.4985536831616268	0.04173667864266479	0.02726975026043879	0.9415545583928688	True
walk1_subject1_frames_1_180_state_fixture_window_0001	walk1_subject1_frames_1_180	21	99	32	29	4	8.526582337938342e-05	8.85368061075817e-05	0.0240413099527359	1.4696508161581245	0.00767395074285887	0.012469928699432278	0.9580561466323775	True
walk1_subject1_frames_1_180_state_fixture_window_0002	walk1_subject1_frames_1_180	21	99	32	29	4	8.809791960959463e-05	8.348843014793517e-05	0.01868404448032379	1.4688416830396895	0.006622907958582662	0.01000852172940768	0.9589884082386161	True
walk1_subject1_frames_1_180_state_fixture_window_0003	walk1_subject1_frames_1_180	21	99	32	29	4	8.086908631627901e-05	6.921475731511979e-05	0.019467398524284363	1.4701456284440637	0.009720283790210792	0.005895070100844517	0.9657886748496484	True
walk1_subject1_frames_1_180_state_fixture_window_0004	walk1_subject1_frames_1_180	21	99	32	29	4	5.639571883626952e-05	5.981718715869759e-05	0.019342780113220215	1.4575942052331903	0.003278496756511762	0.0032626950045833874	0.9682624337644962	True
walk1_subject1_frames_1_180_state_fixture_window_0005	walk1_subject1_frames_1_180	21	99	32	29	4	6.0379726109979386e-05	6.487217279388716e-05	0.01992163062095642	1.4583282949393477	0.0025962330312852304	0.004048179660846714	0.9590300131738455	True
walk1_subject1_frames_1_180_state_fixture_window_0006	walk1_subject1_frames_1_180	21	99	32	29	4	6.953227890996028e-05	6.49403730860006e-05	0.0234224796295166	1.4621735947453494	0.0059814355298440204	0.004828105500232169	0.9574120526322093	True
walk1_subject1_frames_1_180_state_fixture_window_0007	walk1_subject1_frames_1_180	21	99	32	29	4	6.406032048277478e-05	6.546584154658896e-05	0.022631555795669556	1.4583742441761904	0.004874955446386115	0.0045246196928966104	0.961867296787325	True
walk1_subject1_frames_1_180_state_fixture_window_0008	walk1_subject1_frames_1_180	21	99	32	29	4	7.001759494452209e-05	7.024727500111664e-05	0.022490352392196655	1.458691563092164	0.00486465001731939	0.00433541175204215	0.9630092516877484	True
walk1_subject1_frames_1_180_state_fixture_window_0009	walk1_subject1_frames_1_180	21	99	32	29	4	7.230024143239012e-05	7.057521290064143e-05	0.023326784372329712	1.4583176205457016	0.006511813243760037	0.004220839508948934	0.9650908616729309	True
walk1_subject1_frames_1_180_state_fixture_window_0010	walk1_subject1_frames_1_180	21	99	32	29	4	6.88476674313719e-05	9.411094777291697e-05	0.022470951080322266	1.461320493529739	0.004770938424803085	0.02218663724313862	0.9683986537514782	True
walk1_subject1_frames_1_180_state_fixture_window_0011	walk1_subject1_frames_1_180	21	99	32	29	4	6.568942162915843e-05	0.0003140315214359591	0.02318739891052246	1.469151564784682	0.019174241389147653	0.07984539026212695	0.9814927166891246	True
walk1_subject1_frames_1_180_state_fixture_window_0012	walk1_subject1_frames_1_180	21	99	32	29	4	0.0007818845188475774	0.0005875333003860703	0.061656929552555084	1.6893686837508382	0.1551812786889064	0.09988221944439019	0.9809430177407391	True
walk1_subject1_frames_1_180_state_fixture_window_0013	walk1_subject1_frames_1_180	21	99	32	29	4	0.0008571597683028913	0.0004647677497586987	0.07020003907382488	1.7606262938679662	0.094385088694959	0.07455458259382197	0.9750415264212036	True
walk1_subject1_frames_1_180_state_fixture_window_0014	walk1_subject1_frames_1_180	21	99	32	29	4	0.00024113591350239587	0.00022702343762350975	0.038252830505371094	1.5093120164369977	0.06286017175223745	0.07075484857019589	1.03273392065845	True
walk1_subject1_frames_1_180_state_fixture_window_0015	walk1_subject1_frames_1_180	21	99	32	29	4	0.00020810666664386086	0.0001432454425605137	0.04269339144229889	1.3295650376784993	0.08004826614071411	0.054960011392232076	1.1203129561445673	True
